Date ,Crude Temp In ,Crude Temp Out ,"CDU1 rate  
(KBPD)",Crude Flow rate (kg/hr),Kero Temp In ,Kero Temp Out ,Kero Flow m3/hr ,Furnace inlet temp (deg C),Crude Temp Increase, Kero Temp decrease,Q (heat exchanged) MW,Hot-in - Cold-out,Hot-out -Cold-in,LMTD,U transfer rate,Cummulative Flow Tones per day,Fouling Resistance
08-08-2012,155.8343599,167.4399,101.8885,466017.593,259.6393901,214.328,139.9192,199.5263,11.60557868,45.31143073,3.936116131,92.19945144,58.49359939,74.07279748,95.36698412,637974.1036,0.010485809
09-08-2012,152.3465673,173.9551,94.563,432512.2602,267.4210281,188.4184,136.2859,205.3175,21.60855122,79.00265505,6.801784422,93.4659096,36.07180577,60.28252852,202.4977934,648354.3978,0.004938325
10-08-2012,154.7974678,177.4809,92.3039,422179.6756,271.0433385,190.6146,136.8106,207.552,22.68341478,80.42874887,6.969546928,93.56245596,35.81712187,60.1386636,207.9886643,658486.71,0.004807954
11-08-2012,161.2051909,183.0916,91.9925,420755.3364,273.8657025,196.0065,136.6347,210.7414,21.8864041,77.8591943,6.701975516,90.77410758,34.80131738,58.38290395,206.0184125,668584.8381,0.004853935
12-08-2012,161.7164013,182.7077,91.2404,417315.4098,273.5702231,195.3727,128.8922,210.1902,20.99133321,78.19749749,6.375338297,90.8624886,33.65632431,57.60094579,198.6380818,678600.408,0.005034281
13-08-2012,161.6644717,182.4263,91.1133,416734.086,274.8407612,196.305,127.0754,209.7074,20.76185733,78.53580506,6.296859703,92.41443221,34.64048448,58.87730312,191.9397834,688602.026,0.005209967
14-08-2012,160.3448836,181.3518,94.0905,430351.1419,277.0832394,197.6055,130.7324,208.2693,21.00687132,79.47769724,6.57935205,95.73148449,37.26065857,61.965087,190.5570206,698930.4534,0.005247773
15-08-2012,151.392817,168.3472,100.3973,459197.0065,259.5792745,183.3085,119.916,196.7309,16.95436033,76.27081969,5.666034931,91.23209711,31.91563775,56.47515609,180.0572861,709951.1816,0.005553788
16-08-2012,149.2494307,163.5971,100.6334,460277.0352,250.7611314,177.0698,106.4667,193.3567,14.34770237,73.69133131,4.806184701,87.16399839,27.82036945,51.96360604,165.9931121,720997.8304,0.006024346
17-08-2012,149.1688944,164.3114,100.6425,460318.6159,252.6526658,179.6734,112.2781,193.4766,15.14254222,72.97924077,5.072897912,88.3412292,30.50453065,54.39196296,167.3825895,732045.4772,0.005974337
18-08-2012,149.1702817,166.3862,101.6011,464703.168,259.279337,186.0933,125.6904,194.8405,17.21590241,73.18605564,5.822429196,92.89315281,36.92299959,60.66467146,172.2492177,743198.3532,0.005805542
19-08-2012,154.1656326,175.2095,103.6483,474066.5859,277.1411421,202.0602,148.2541,202.7325,21.04390534,75.08098489,7.26046566,101.9316042,47.8945247,71.54378218,182.1299936,754575.9513,0.005490584
20-08-2012,153.8472401,174.6642,103.4399,473113.2009,277.908546,202.5614,146.4623,202.0581,20.81694226,75.34715203,7.167716081,103.2443636,48.71415385,72.5976608,177.1932032,765930.6681,0.005643557
21-08-2012,154.2627446,174.9885,103.3923,472895.5329,279.3575682,202.99,144.3823,201.7655,20.72579758,76.36754162,7.133049772,104.369026,48.72728192,73.05000913,175.2442883,777280.1609,0.00570632
22-08-2012,153.532477,173.2009,101.834,465768.3751,275.2798471,201.825,146.6351,199.6479,19.66838813,73.45484023,6.667109038,102.0789819,48.29252985,71.86187158,166.505248,788458.6019,0.006005817
23-08-2012,153.5248696,172.4197,101.2565,463127.1144,271.3847836,202.4635,147.5608,201.8188,18.89485507,68.92126134,6.368579341,98.96505885,48.93865259,71.04012281,160.8895187,799573.6527,0.006215445
24-08-2012,153.0678818,172.6364,101.4387,463960.2127,273.331824,207.118,159.5557,202.5554,19.56847588,66.21379536,6.607490245,100.6954663,54.05014681,74.96975313,158.1755459,810708.6978,0.00632209
25-08-2012,153.5577206,172.0902,101.9421,466262.7936,270.7685466,205.9569,158.2104,201.8831,18.53243426,64.81166973,6.288716549,98.67839179,52.39915632,73.1137859,154.3659961,821899.0048,0.006478111
26-08-2012,154.262626,172.6158,102.2845,467828.7009,269.5526014,202.6715,149.6869,201.9308,18.35313315,66.88108101,6.248789108,96.93684227,48.4088944,69.88712392,160.4676867,833126.8936,0.006231784
