No. of obs,Cluster no., KWH   ,,,,,,,,,,,
464,2,0.0874,,,,,,,,,,,
465,2,0.0833,,,,,,,,,,,
466,2,0.0757,,,,,,,,,,,
467,2,0.0708,,,,,,,,,,,
468,2,0.069,,,,,,,,,,,
469,2,0.0708,,,,,,,,,,,
470,2,0.0716,,,,,,,,,,,
471,2,0.0256,,,,,,,,,,,
472,2,0.0136,,,,,,,,,,,
473,2,0.0136,,,,,,,,,,,
474,2,0.0277,,,,,,,,,,,
475,2,0.0081,,,,,,,,,,,
476,2,0.0099,,,,,,,,,,,
477,2,0.0091,,,,,,,,,,,
478,2,0.0047,,,,,,,,,,,
479,2,0.0043,,,,,,,,,,,
480,2,0.0031,,,,,,,,,,,
481,2,0.0042,,,,,,,,,,,
482,2,0.0039,,,,,,,,,,,
483,2,0.0038,,,,,,,,,,,
484,2,0.0053,,,,,,,,,,,
485,2,0.0042,,,,,,,,,,,
486,2,0.0055,,,,,,,,,,,
487,2,0.005,,,,,,,,,,,
488,2,0.0045,,,,,,,,,,,
489,2,0.0044,,,,,,,,,,,
490,2,0.0032,,,,,,,,,,,
491,2,0.0045,,,,,,,,,,,
492,2,0.0037,,,,,,,,,,,
493,2,0.0043,,,,,,,,,,,
494,2,0.0044,,,,,,,,,,,
495,2,0.0054,,,,,,,,,,,
496,2,0.0143,,,,,,,,,,,
497,2,0.0162,,,,,,,,,,,
498,2,0.0245,,,,,,,,,,,
499,2,0.0346,,,,,,,,,,,
500,2,0.0468,,,,,,,,,,,
501,2,0.0576,,,,,,,,,,,
502,2,0.0694,,,,,,,,,,,
503,2,0.0901,,,,,,,,,,,
504,2,0.0871,,,,,,,,,,,
505,2,0.0878,,,,,,,,,,,
506,2,0.0908,,,,,,,,,,,
507,2,0.0907,,,,,,,,,,,
508,2,0.0944,,,,,,,,,,,
509,2,0.0977,,,,,,,,,,,
510,2,0.0996,,,,,,,,,,,
511,2,0.0942,,,,,,,,,,,
512,2,0.0901,,,,,,,,,,,
513,2,0.0958,,,,,,,,,,,
514,2,0.0885,,,,,,,,,,,
515,2,0.0852,,,,,,,,,,,
516,2,0.0782,,,,,,,,,,,
517,2,0.0579,,,,,,,,,,,
518,2,0.0448,,,,,,,,,,,
519,2,0.0292,,,,,,,,,,,
520,2,0.0284,,,,,,,,,,,
521,2,0.028,,,,,,,,,,,
522,2,0.024,,,,,,,,,,,
523,2,0.02,,,,,,,,,,,
524,2,0.013,,,,,,,,,,,
525,2,0.0302,,,,,,,,,,,
526,2,0.0052,,,,,,,,,,,
527,2,0.0035,,,,,,,,,,,
528,2,0.0048,,,,,,,,,,,
529,2,0.004,,,,,,,,,,,
530,2,0.0042,,,,,,,,,,,
531,2,0.0055,,,,,,,,,,,
532,2,0.0046,,,,,,,,,,,
533,2,0.0057,,,,,,,,,,,
534,2,0.0052,,,,,,,,,,,
535,2,0.0051,,,,,,,,,,,
536,2,0.0058,,,,,,,,,,,
537,2,0.0049,,,,,,,,,,,
538,2,0.005,,,,,,,,,,,
539,2,0.0043,,,,,,,,,,,
540,2,0.0041,,,,,,,,,,,
541,2,0.0046,,,,,,,,,,,
542,2,0.0033,,,,,,,,,,,
543,2,0.0068,,,,,,,,,,,
544,2,0.01,,,,,,,,,,,
545,2,0.0157,,,,,,,,,,,
546,2,0.0215,,,,,,,,,,,
547,2,0.0419,,,,,,,,,,,
548,2,0.0636,,,,,,,,,,,
549,2,0.0771,,,,,,,,,,,
550,2,0.0881,,,,,,,,,,,
551,2,0.1082,,,,,,,,,,,
552,2,0.107,,,,,,,,,,,
553,2,0.1069,,,,,,,,,,,
554,2,0.1062,,,,,,,,,,,
555,2,0.1068,,,,,,,,,,,
556,2,0.0959,,,,,,,,,,,
557,2,0.0914,,,,,,,,,,,
558,2,0.0856,,,,,,,,,,,
559,2,0.093,,,,,,,,,,,
560,2,0.0874,,,,,,,,,,,
561,2,0.0912,,,,,,,,,,,
562,2,0.0814,,,,,,,,,,,
563,2,0.0757,,,,,,,,,,,
564,2,0.0735,,,,,,,,,,,
565,2,0.0562,,,,,,,,,,,
566,2,0.0391,,,,,,,,,,,
567,2,0.0352,,,,,,,,,,,
568,2,0.0306,,,,,,,,,,,
569,2,0.0244,,,,,,,,,,,
570,2,0.0308,,,,,,,,,,,
571,2,0.0092,,,,,,,,,,,
572,2,0.01,,,,,,,,,,,
573,2,0.011,,,,,,,,,,,
574,2,0.007,,,,,,,,,,,
575,2,0.0039,,,,,,,,,,,
576,2,0.0042,,,,,,,,,,,
577,2,0.0034,,,,,,,,,,,
578,2,0.0052,,,,,,,,,,,
579,2,0.0044,,,,,,,,,,,
580,2,0.0049,,,,,,,,,,,
581,2,0.005,,,,,,,,,,,
582,2,0.0046,,,,,,,,,,,
583,2,0.0054,,,,,,,,,,,
584,2,0.0043,,,,,,,,,,,
585,2,0.0043,,,,,,,,,,,
586,2,0.004,,,,,,,,,,,
587,2,0.0035,,,,,,,,,,,
588,2,0.0065,,,,,,,,,,,
589,2,0.028,,,,,,,,,,,
590,2,0.0276,,,,,,,,,,,
591,2,0.0064,,,,,,,,,,,
592,2,0.0118,,,,,,,,,,,
593,2,0.0168,,,,,,,,,,,
594,2,0.0191,,,,,,,,,,,
595,2,0.0309,,,,,,,,,,,
596,2,0.0464,,,,,,,,,,,
597,2,0.061,,,,,,,,,,,
598,2,0.0717,,,,,,,,,,,
599,2,0.0882,,,,,,,,,,,
600,2,0.0849,,,,,,,,,,,
601,2,0.0791,,,,,,,,,,,
602,2,0.1039,,,,,,,,,,,
603,2,0.105,,,,,,,,,,,
604,2,0.0889,,,,,,,,,,,
605,2,0.103,,,,,,,,,,,
606,2,0.0897,,,,,,,,,,,
607,2,0.0902,,,,,,,,,,,
608,2,0.088,,,,,,,,,,,
609,2,0.0856,,,,,,,,,,,
610,2,0.0844,,,,,,,,,,,
611,2,0.0727,,,,,,,,,,,
612,2,0.0727,,,,,,,,,,,
613,2,0.0529,,,,,,,,,,,
614,2,0.0313,,,,,,,,,,,
615,2,0.0318,,,,,,,,,,,
616,2,0.025,,,,,,,,,,,
617,2,0.0223,,,,,,,,,,,
618,2,0.0125,,,,,,,,,,,
619,2,0.0079,,,,,,,,,,,
620,2,0.0106,,,,,,,,,,,
621,2,0.0294,,,,,,,,,,,
622,2,0.0117,,,,,,,,,,,
623,2,0.0045,,,,,,,,,,,
624,2,0.0034,,,,,,,,,,,
625,2,0.0042,,,,,,,,,,,
626,2,0.0035,,,,,,,,,,,
627,2,0.0043,,,,,,,,,,,
628,2,0.0037,,,,,,,,,,,
629,2,0.0037,,,,,,,,,,,
630,2,0.0045,,,,,,,,,,,
631,2,0.0033,,,,,,,,,,,
632,2,0.0045,,,,,,,,,,,
633,2,0.0035,,,,,,,,,,,
634,2,0.0039,,,,,,,,,,,
635,2,0.0046,,,,,,,,,,,
636,2,0.0034,,,,,,,,,,,
637,2,0.0041,,,,,,,,,,,
638,2,0.003,,,,,,,,,,,
639,2,0.0059,,,,,,,,,,,
640,2,0.0103,,,,,,,,,,,
641,2,0.0223,,,,,,,,,,,
642,2,0.0299,,,,,,,,,,,
643,2,0.0497,,,,,,,,,,,
644,2,0.0684,,,,,,,,,,,
645,2,0.0698,,,,,,,,,,,
646,2,0.0802,,,,,,,,,,,
647,2,0.0828,,,,,,,,,,,
648,2,0.084,,,,,,,,,,,
649,2,0.0806,,,,,,,,,,,
650,2,0.0781,,,,,,,,,,,
651,2,0.0815,,,,,,,,,,,
652,2,0.0785,,,,,,,,,,,
653,2,0.0625,,,,,,,,,,,
654,2,0.0562,,,,,,,,,,,
655,2,0.0535,,,,,,,,,,,
656,2,0.0491,,,,,,,,,,,
657,2,0.0444,,,,,,,,,,,
658,2,0.0212,,,,,,,,,,,
659,2,0.02,,,,,,,,,,,
660,2,0.0193,,,,,,,,,,,
661,2,0.0184,,,,,,,,,,,
662,2,0.0158,,,,,,,,,,,
663,2,0.0128,,,,,,,,,,,
664,2,0.0131,,,,,,,,,,,
665,2,0.0319,,,,,,,,,,,
666,2,0.0131,,,,,,,,,,,
667,2,0.0129,,,,,,,,,,,
668,2,0.0129,,,,,,,,,,,
669,2,0.0094,,,,,,,,,,,
670,2,0.0037,,,,,,,,,,,
671,2,0.0053,,,,,,,,,,,
672,2,0.0041,,,,,,,,,,,
673,2,0.0053,,,,,,,,,,,
674,2,0.005,,,,,,,,,,,
675,2,0.0052,,,,,,,,,,,
676,2,0.0058,,,,,,,,,,,
677,2,0.0048,,,,,,,,,,,
678,2,0.0058,,,,,,,,,,,
679,2,0.0049,,,,,,,,,,,
